,Time [s],H,H2,O,O2,OH,H2O,N2,HO2,H2O2,AR,HE,CO,CO2,CH2O,HCO,HOCHO,OCHO,HOCH2O,CH3OH,CH2OH,CH3O,CH3O2H,CH3O2,CH4,CH3,CH2,CH2(S),C,CH,HOCO,HCOH,C2H6,C2H5,C2H4,C2H3,C2H2,C2H,CH3CHO,CH3CO,CH2CHO,CH2CO,HCCO,H2CC,C2O,HCCOH,CH3CO3H,CH3CO3,CH3CO2,C2H5OH,C2H5O,CH2CH2OH,CH3CHOH,O2C2H4OH,C2H5O2H,C2H5O2,C2H4O2H,C2H4O(1),C2H3O(2),CH2CHOH,CH3OCHO,CH2OCHO,CH3OCO,C2H5OCHO,C2H5OCO,CH2CH2OCHO,CH3CHOCHO,OH*,CH*,KR,CH4^+,CH3^+,CH2^+,O2(A1),O2(B1),O2(4.5EV),O(1D),O(1S),O2^+,O^+,O3,HE(SINGLET),HE^+,E
10,1e-09,959297139022272.0,134767123000000.0,7527823489933227.0,-9360891637460922.0,35917000000000.0,0.0,0.0,8.6265e-16,0.0,0.0,-977734526999669.5,0.0,0.0,2383900000000.0,0.0,0.0,0.0,0.0,0.0,9535600000000.0,0.0,0.0,0.0,-1899710073000000.0,69002000004316.1,33085000013639.6,0.0,33085000000000.0,33104059000000.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835917869991367.8,883572479990676.5,24163999999.84212,457953328013602.94,139706391045927.23,254500479531378.34,5642152364313289.0,66569166490139.81,1843667510996548.8,45744389000278.48,648670000.0086108,602827426999662.6,374907100000006.8,3983833513978878.5
11,1.1e-09,1256446166038798.0,176534803000000.0,9859182185645630.0,-1.2260809871282902e+16,47811000000000.0,0.0,0.0,1.1489e-15,0.0,0.0,-1279183086999414.8,0.0,0.0,3173300000000.0,0.0,0.0,0.0,0.0,0.0,12693000000000.0,0.0,0.0,0.0,-2487848313000000.0,91137000007512.6,43326000023772.6,0.0,43326000000000.0,43351356000000.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093733699984975.0,1157075809983740.0,32146999999.71343,599709691788432.6,183396973624442.88,333264189109997.0,7386899048215738.0,87173558190244.11,2415633448993973.5,60676451000493.27,864160000.0152727,789042986999402.4,490140100000012.06,5217291656963194.0
12,1.2e-09,1645533578067322.5,231231096000000.0,1.2912398211509788e+16,-1.6058597962741018e+16,63384000000000.0,0.0,0.0,1.5238e-15,0.0,0.0,-1673987143998971.0,0.0,0.0,4206900000000.0,0.0,0.0,0.0,0.0,0.0,16828000000000.0,0.0,0.0,0.0,-3257967056000000.0,120121000013027.0,56737000041268.0,0.0,56737000000000.0,56770598000000.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1431325979973946.0,1515197979971759.0,42597999999.48596,785362932015205.0,240626349836570.9,436423575189194.8,9671889499059972.0,114156761650424.4,3164650699989522.5,80202000000866.66,1146400000.0268648,1032893843998950.1,641093300000021.1,6832512557936115.0
13,1.3e-09,2155145299116470.0,302864868000000.0,1.6911211441546954e+16,-2.1032560931679916e+16,83774000000000.0,0.0,0.0,2.0147e-15,0.0,0.0,-2191091011998204.0,0.0,0.0,5560200000000.0,0.0,0.0,0.0,0.0,0.0,22241000000000.0,0.0,0.0,0.0,-4266653988000000.0,158075000022524.0,74301000071421.0,0.0,74301000000000.0,74345389000000.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873516209954952.0,1984257909951103.0,56278999999.08643,1028523876824684.8,315560804447064.0,571524191138091.0,1.2664655454417274e+16,149495718400735.4,4145607555981844.0,105746644001513.56,1516070000.04696,1352275211998166.2,838815800000037.1,8948000398889449.0
14,1.4000000000000001e-09,2822558827201062.5,396673009000000.0,2.2147191810769304e+16,-2.7545477189043544e+16,110470000000000.0,0.0,0.0,2.6576999999999998e-15,0.0,0.0,-2868430370996877.0,0.0,0.0,7332300000000.0,0.0,0.0,0.0,0.0,0.0,29329000000000.0,0.0,0.0,0.0,-5587694829000000.0,207772000038865.0,97302000123331.0,0.0,97302000000000.0,97360517000001.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452655509922270.0,2598567309915534.0,74191999998.3882,1346909551235014.2,413691911531901.2,748450245816484.1,1.6583093857529852e+16,195774352201271.28,5430239539968616.0,139174560002631.55,2000160000.0817106,1770626470996811.8,1097803900000064.5,1.1718515011809116e+16
15,1.5e-09,3696589516346540.0,519547561000000.0,2.900483226138055e+16,-3.607552988917124e+16,145440000000000.0,0.0,0.0,3.4997e-15,0.0,0.0,-3755342638994587.5,0.0,0.0,9652900000000.0,0.0,0.0,0.0,0.0,0.0,38611000000000.0,0.0,0.0,0.0,-7317726561000000.0,272870000066959.0,127430000212619.0,0.0,127430000000000.0,127507016000002.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3211086499866082.0,3403041499854340.0,97644999997.1726,1763945607001468.5,542210020828144.7,980154108671372.6,2.1715326648351492e+16,256382563202193.3,7112632329945848.0,182922370004560.03,2634170000.1416793,2318379338994475.0,1436963300000112.0,1.534674364467094e+16
16,1.6e-09,4841207740596545.0,680401600000000.0,3.7986101154687096e+16,-4.724683491148393e+16,191220000000000.0,0.0,0.0,4.602300000000001e-15,0.0,0.0,-4916941099990645.0,0.0,0.0,12692000000000.0,0.0,0.0,0.0,0.0,0.0,50766000000000.0,0.0,0.0,0.0,-9583346300000000.0,358090000115230.0,166870000366080.0,0.0,166870000000000.0,166971240000004.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4204358199769540.0,4456600499749150.0,128359999995.0631,2309978429626559.0,710526707123177.9,1283555837333752.8,2.843704385678873e+16,335760220303778.9,9315883649906700.0,240186950007881.75,3464400000.2450085,3035765699990451.0,1881175400000194.2,2.009833305943346e+16
17,1.7000000000000001e-09,6340266561025979.0,891132530000000.0,4.974730423944989e+16,-6.187677164472777e+16,251170000000000.0,0.0,0.0,6.0463000000000004e-15,0.0,0.0,-6438132969983862.0,0.0,0.0,16671000000000.0,0.0,0.0,0.0,0.0,0.0,66683000000000.0,0.0,0.0,0.0,-1.255054173e+16,469710000198130.0,218540000629710.0,0.0,218540000000000.0,218672960000008.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5505185599603740.0,5836370599568420.0,168569999991.4111,3025169108477423.5,930931550536680.2,1681022370212918.5,3.723928378445269e+16,439717152006503.94,1.2201645099839414e+16,315164200013597.6,4551800000.42286,3975222269983525.5,2462910700000335.5,2.6321444769025496e+16
18,1.8e-09,8303488691763325.0,1167077720000000.0,6.515025255535776e+16,-8.103532893269683e+16,329690000000000.0,0.0,0.0,7.9375e-15,0.0,0.0,-8430486479972198.0,0.0,0.0,21882000000000.0,0.0,0.0,0.0,0.0,0.0,87528000000000.0,0.0,0.0,0.0,-1.643652352e+16,615890000340450.0,286200001082410.0,0.0,286200000000000.0,286374490000014.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7208841599319100.0,7643386199258040.0,221229999985.101,3961797336001580.5,1219645990703794.0,2201416633090159.2,4.876687309936255e+16,575853133911184.8,1.5979751229723838e+16,413338770023424.9,5975900000.728721,5205676479971620.0,3224810000000578.0,3.4470349028324964e+16
19,1.9e-09,1.0874061183029016e+16,1528465070000000.0,8.532218393664294e+16,-1.0612666328641387e+17,432510000000000.0,0.0,0.0,1.0414000000000001e-14,0.0,0.0,-1.103954172995216e+16,0.0,0.0,28706000000000.0,0.0,0.0,0.0,0.0,0.0,114820000000000.0,0.0,0.0,0.0,-2.152467627e+16,807320000584730.0,374810001859530.0,0.0,374810000000000.0,375038880000025.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9439488898830540.0,1.00093922987252e+16,290189999974.215,5188467822155489.0,1597621641145367.0,2883016183310758.0,6.386390159045121e+16,754137871019222.4,2.0928474359525384e+16,541883640040311.5,7840800001.254373,6816969729951163.0,4222572000000995.0,4.514210138712241e+16
